stt,ma_loai_vb,ten_san_pham,mo_ta,loai_san_pham,san_pham_chuan,nhom,he_so,linh_vuc,lech_nhom
21.5,3,"Quy chế, Quy định liên quan công tác chính trị, tư tưởng","Ban hành, sửa đổi quy chế, quy định nội bộ liên quan công tác chính trị, tư tưởng.",Quy chế/Quy định,,Nhóm 2,2,"21. Công tác chính trị, tư tưởng",hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
21.6,5,"Hướng dẫn liên quan công tác chính trị, tư tưởng","Hướng dẫn nghiệp vụ, chỉ dẫn cách thức thực hiện liên quan công tác chính trị, tư tưởng.",Hướng dẫn,,Nhóm 2,1.2,"21. Công tác chính trị, tư tưởng",
21.7,3.1,"Công văn nội bộ Trường liên quan công tác chính trị, tư tưởng","Trao đổi, đề nghị, phối hợp giữa các đơn vị trong Trường liên quan công tác chính trị, tư tưởng.",Công văn,,Nhóm 1,0.5,"21. Công tác chính trị, tư tưởng",
21.8,3.2,"Công văn ra ngoài Trường liên quan công tác chính trị, tư tưởng","Trao đổi, báo cáo, đề nghị với cơ quan, đơn vị bên ngoài liên quan công tác chính trị, tư tưởng.",Công văn,,Nhóm 1,0.5,"21. Công tác chính trị, tư tưởng",
21.9,9.4,"Báo cáo tiếp thu, giải trình liên quan công tác chính trị, tư tưởng","Báo cáo tiếp thu, giải trình theo yêu cầu của cấp có thẩm quyền liên quan công tác chính trị, tư tưởng.",Báo cáo,,Nhóm 1,0.5,"21. Công tác chính trị, tư tưởng",
21.10,16,"Danh sách dự Hội nghị học tập, quán triệt, triển khai Nghị quyết","Lập danh sách, theo dõi việc tham gia học tập, quán triệt Nghị quyết của Đảng.",Danh sách tham gia,,Nhóm 1,0.5,"21. Công tác chính trị, tư tưởng",
22.1,9.1,"Báo cáo tháng, quý chất lượng sinh hoạt chi bộ","Tổng hợp, đánh giá chất lượng sinh hoạt chi bộ theo tháng/quý.",Báo cáo,,Nhóm 1,1,22. Công tác tổ chức Đảng và phát triển đảng viên,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
22.2,2,Quyết định kết nạp đảng viên/công nhận đảng viên chính thức,"Xem xét, ra quyết định kết nạp, công nhận đảng viên chính thức.",Quyết định,,Nhóm 1,1,22. Công tác tổ chức Đảng và phát triển đảng viên,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
22.3,9.2,"Báo cáo năm đánh giá, xếp loại tổ chức đảng, đảng viên","Tổng hợp kết quả đánh giá, xếp loại chất lượng tổ chức đảng, đảng viên.",Báo cáo,,Nhóm 2,1.5,22. Công tác tổ chức Đảng và phát triển đảng viên,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
22.4,3,"Quy chế, Quy định liên quan công tác tổ chức Đảng và phát triển đảng viên","Ban hành, sửa đổi quy chế, quy định nội bộ liên quan công tác tổ chức Đảng và phát triển đảng viên.",Quy chế/Quy định,,Nhóm 2,2,22. Công tác tổ chức Đảng và phát triển đảng viên,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
22.5,5,Hướng dẫn liên quan công tác tổ chức Đảng và phát triển đảng viên,"Hướng dẫn nghiệp vụ, chỉ dẫn cách thức thực hiện liên quan công tác tổ chức Đảng và phát triển đảng viên.",Hướng dẫn,,Nhóm 2,1.2,22. Công tác tổ chức Đảng và phát triển đảng viên,
22.6,3.1,Công văn nội bộ Trường liên quan công tác tổ chức Đảng và phát triển đảng viên,"Trao đổi, đề nghị, phối hợp giữa các đơn vị trong Trường liên quan công tác tổ chức Đảng và phát triển đảng viên.",Công văn,,Nhóm 1,0.5,22. Công tác tổ chức Đảng và phát triển đảng viên,
22.7,3.2,Công văn ra ngoài Trường liên quan công tác tổ chức Đảng và phát triển đảng viên,"Trao đổi, báo cáo, đề nghị với cơ quan, đơn vị bên ngoài liên quan công tác tổ chức Đảng và phát triển đảng viên.",Công văn,,Nhóm 1,0.5,22. Công tác tổ chức Đảng và phát triển đảng viên,
22.8,9.4,"Báo cáo tiếp thu, giải trình liên quan công tác tổ chức Đảng và phát triển đảng viên","Báo cáo tiếp thu, giải trình theo yêu cầu của cấp có thẩm quyền liên quan công tác tổ chức Đảng và phát triển đảng viên.",Báo cáo,,Nhóm 1,0.5,22. Công tác tổ chức Đảng và phát triển đảng viên,
23.1,8,Đề án vị trí việc làm,"Xây dựng, trình phê duyệt Đề án vị trí việc làm của Trường.",Đề án,,Nhóm 5,4.5,23. Công tác tổ chức cán bộ,
23.2,7.3,"Chương trình, kế hoạch giai đoạn tuyển dụng viên chức",Xây dựng kế hoạch tuyển dụng viên chức theo chỉ tiêu biên chế được giao.,Kế hoạch,,Nhóm 2,1.5,23. Công tác tổ chức cán bộ,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
23.3,2,"Quyết định tuyển dụng, tiếp nhận viên chức","Ban hành quyết định tuyển dụng, tiếp nhận viên chức, người lao động.",Quyết định,,Nhóm 1,1,23. Công tác tổ chức cán bộ,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
23.4,7.5,"Kế hoạch triển khai công tác quy hoạch, bổ nhiệm cán bộ","Xây dựng kế hoạch quy hoạch, bổ nhiệm, bổ nhiệm lại cán bộ quản lý.",Kế hoạch,,Nhóm 2,1.5,23. Công tác tổ chức cán bộ,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
23.5,2,"Quyết định liên quan công tác bổ nhiệm, quy hoạch cán bộ","Ban hành quyết định bổ nhiệm, bổ nhiệm lại, phê duyệt quy hoạch cán bộ.",Quyết định,,Nhóm 1,1,23. Công tác tổ chức cán bộ,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
23.6,2,Quyết định nâng bậc lương thường xuyên,Ra quyết định nâng bậc lương thường xuyên cho viên chức theo quy định.,Quyết định,,Nhóm 1,0.5,23. Công tác tổ chức cán bộ,
23.7,7.2,"Chương trình, kế hoạch đào tạo, bồi dưỡng viên chức năm","Xây dựng kế hoạch đào tạo, bồi dưỡng chuyên môn, nghiệp vụ, lý luận chính trị.",Kế hoạch,,Nhóm 2,1.5,23. Công tác tổ chức cán bộ,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
23.8,9.2,"Báo cáo năm tổng hợp kết quả đánh giá, xếp loại chất lượng viên chức","Tổng hợp kết quả đánh giá, xếp loại chất lượng viên chức toàn Trường.",Báo cáo,,Nhóm 2,1.5,23. Công tác tổ chức cán bộ,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
23.9,9.1,"Báo cáo tháng, quý công tác tổ chức cán bộ","Báo cáo định kỳ tháng/quý/năm về công tác tổ chức, cán bộ.",Báo cáo,,Nhóm 1,1,23. Công tác tổ chức cán bộ,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
23.10,3,"Quy chế, Quy định liên quan công tác tổ chức cán bộ","Ban hành, sửa đổi quy chế, quy định nội bộ liên quan công tác tổ chức cán bộ.",Quy chế/Quy định,,Nhóm 2,2,23. Công tác tổ chức cán bộ,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
23.11,5,Hướng dẫn liên quan công tác tổ chức cán bộ,"Hướng dẫn nghiệp vụ, chỉ dẫn cách thức thực hiện liên quan công tác tổ chức cán bộ.",Hướng dẫn,,Nhóm 2,1.2,23. Công tác tổ chức cán bộ,
23.12,3.1,Công văn nội bộ Trường liên quan công tác tổ chức cán bộ,"Trao đổi, đề nghị, phối hợp giữa các đơn vị trong Trường liên quan công tác tổ chức cán bộ.",Công văn,,Nhóm 1,0.5,23. Công tác tổ chức cán bộ,
23.13,3.2,Công văn ra ngoài Trường liên quan công tác tổ chức cán bộ,"Trao đổi, báo cáo, đề nghị với cơ quan, đơn vị bên ngoài liên quan công tác tổ chức cán bộ.",Công văn,,Nhóm 1,0.5,23. Công tác tổ chức cán bộ,
23.14,9.4,"Báo cáo tiếp thu, giải trình liên quan công tác tổ chức cán bộ","Báo cáo tiếp thu, giải trình theo yêu cầu của cấp có thẩm quyền liên quan công tác tổ chức cán bộ.",Báo cáo,,Nhóm 1,0.5,23. Công tác tổ chức cán bộ,
24.1,7.2,"Chương trình, kế hoạch kiểm tra, giám sát tổ chức đảng, đảng viên năm","Xây dựng kế hoạch kiểm tra, giám sát theo chương trình công tác năm.",Kế hoạch,,Nhóm 2,1.5,"24. Công tác kiểm tra, giám sát và kỷ luật",hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
24.2,2,Quyết định thi hành kỷ luật đảng/hành chính,"Ra quyết định thi hành kỷ luật đối với tổ chức đảng, đảng viên, viên chức vi phạm.",Quyết định,,Nhóm 2,1.2,"24. Công tác kiểm tra, giám sát và kỷ luật",
24.3,9.5,"Báo cáo kết quả giải quyết đơn thư khiếu nại, tố cáo","Tổng hợp kết quả xử lý, giải quyết đơn thư trong nội bộ.",Báo cáo,,Nhóm 2,1.5,"24. Công tác kiểm tra, giám sát và kỷ luật",hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
24.4,3,"Quy chế, Quy định liên quan công tác kiểm tra, giám sát và kỷ luật","Ban hành, sửa đổi quy chế, quy định nội bộ liên quan công tác kiểm tra, giám sát và kỷ luật.",Quy chế/Quy định,,Nhóm 2,2,"24. Công tác kiểm tra, giám sát và kỷ luật",hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
24.5,5,"Hướng dẫn liên quan công tác kiểm tra, giám sát và kỷ luật","Hướng dẫn nghiệp vụ, chỉ dẫn cách thức thực hiện liên quan công tác kiểm tra, giám sát và kỷ luật.",Hướng dẫn,,Nhóm 2,1.2,"24. Công tác kiểm tra, giám sát và kỷ luật",
24.6,3.1,"Công văn nội bộ Trường liên quan công tác kiểm tra, giám sát và kỷ luật","Trao đổi, đề nghị, phối hợp giữa các đơn vị trong Trường liên quan công tác kiểm tra, giám sát và kỷ luật.",Công văn,,Nhóm 1,0.5,"24. Công tác kiểm tra, giám sát và kỷ luật",
24.7,3.2,"Công văn ra ngoài Trường liên quan công tác kiểm tra, giám sát và kỷ luật","Trao đổi, báo cáo, đề nghị với cơ quan, đơn vị bên ngoài liên quan công tác kiểm tra, giám sát và kỷ luật.",Công văn,,Nhóm 1,0.5,"24. Công tác kiểm tra, giám sát và kỷ luật",
24.8,9.4,"Báo cáo tiếp thu, giải trình liên quan công tác kiểm tra, giám sát và kỷ luật","Báo cáo tiếp thu, giải trình theo yêu cầu của cấp có thẩm quyền liên quan công tác kiểm tra, giám sát và kỷ luật.",Báo cáo,,Nhóm 1,0.5,"24. Công tác kiểm tra, giám sát và kỷ luật",
25.1,9.1,Báo cáo 6 tháng thực hiện quy chế dân chủ ở cơ sở,"Đánh giá kết quả thực hiện quy chế dân chủ ở cơ sở theo định kỳ 6 tháng, năm.",Báo cáo,x,Nhóm 1,1,25. Công tác dân vận và thực hiện dân chủ ở cơ sở,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
25.2,7.2,"Chương trình, kế hoạch tổ chức Hội nghị viên chức và người lao động năm","Xây dựng kế hoạch tổ chức Hội nghị viên chức, người lao động hằng năm.",Kế hoạch,,Nhóm 2,1.5,25. Công tác dân vận và thực hiện dân chủ ở cơ sở,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
25.3,1,Nghị quyết Hội nghị CBVC,Xây dựng nghị quyết HN CBVC hằng năm,Nghị quyết,,Nhóm 2,1.5,25. Công tác dân vận và thực hiện dân chủ ở cơ sở,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
25.4,10,Biên bản Hội nghị viên chức và người lao động,"Ghi nhận nội dung, kết quả Hội nghị viên chức và người lao động.",Biên bản,,Nhóm 1,0.5,25. Công tác dân vận và thực hiện dân chủ ở cơ sở,
25.5,9.4,"Báo cáo tiếp thu, giải trình kiến nghị qua đối thoại","Tổng hợp, báo cáo kết quả giải quyết kiến nghị của viên chức, người lao động.",Báo cáo,,Nhóm 1,0.5,25. Công tác dân vận và thực hiện dân chủ ở cơ sở,
25.6,3,"Quy chế, Quy định liên quan công tác dân vận và thực hiện dân chủ ở cơ sở","Ban hành, sửa đổi quy chế, quy định nội bộ liên quan công tác dân vận và thực hiện dân chủ ở cơ sở.",Quy chế/Quy định,,Nhóm 2,2,25. Công tác dân vận và thực hiện dân chủ ở cơ sở,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
25.7,5,Hướng dẫn liên quan công tác dân vận và thực hiện dân chủ ở cơ sở,"Hướng dẫn nghiệp vụ, chỉ dẫn cách thức thực hiện liên quan công tác dân vận và thực hiện dân chủ ở cơ sở.",Hướng dẫn,,Nhóm 2,1.2,25. Công tác dân vận và thực hiện dân chủ ở cơ sở,
25.8,3.1,Công văn nội bộ Trường liên quan công tác dân vận và thực hiện dân chủ ở cơ sở,"Trao đổi, đề nghị, phối hợp giữa các đơn vị trong Trường liên quan công tác dân vận và thực hiện dân chủ ở cơ sở.",Công văn,,Nhóm 1,0.5,25. Công tác dân vận và thực hiện dân chủ ở cơ sở,
25.9,3.2,Công văn ra ngoài Trường liên quan công tác dân vận và thực hiện dân chủ ở cơ sở,"Trao đổi, báo cáo, đề nghị với cơ quan, đơn vị bên ngoài liên quan công tác dân vận và thực hiện dân chủ ở cơ sở.",Công văn,,Nhóm 1,0.5,25. Công tác dân vận và thực hiện dân chủ ở cơ sở,
25.10,9.4,"Báo cáo tiếp thu, giải trình liên quan công tác dân vận và thực hiện dân chủ ở cơ sở","Báo cáo tiếp thu, giải trình theo yêu cầu của cấp có thẩm quyền liên quan công tác dân vận và thực hiện dân chủ ở cơ sở.",Báo cáo,,Nhóm 1,0.5,25. Công tác dân vận và thực hiện dân chủ ở cơ sở,
26.1,7.4,"Kế hoạch triển khai phối hợp hoạt động Công đoàn, Đoàn Thanh niên, Hội Sinh viên",Xây dựng kế hoạch phối hợp tổ chức hoạt động đoàn thể.,Kế hoạch,,Nhóm 1,1,26. Công tác đoàn thể,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
26.2,9.1,"Báo cáo tháng, quý kết quả hoạt động đoàn thể",Tổng hợp báo cáo kết quả hoạt động của các tổ chức đoàn thể.,Báo cáo,,Nhóm 1,1,26. Công tác đoàn thể,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
26.3,9.2,Báo cáo năm kết quả hoạt động đoàn thể,Tổng hợp báo cáo kết quả hoạt động của các tổ chức đoàn thể.,Báo cáo,,Nhóm 2,1.5,26. Công tác đoàn thể,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
26.4,9.3,Báo cáo giai đoạn kết quả hoạt động đoàn thể,"Tổng hợp báo cáo kết quả hoạt động của các tổ chức đoàn thể 3 năm, 5 năm, giai đoạn.",Báo cáo,,Nhóm 2,2,26. Công tác đoàn thể,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
26.5,3,"Quy chế, Quy định liên quan công tác đoàn thể","Ban hành, sửa đổi quy chế, quy định nội bộ liên quan công tác đoàn thể.",Quy chế/Quy định,,Nhóm 2,2,26. Công tác đoàn thể,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
26.6,5,Hướng dẫn liên quan công tác đoàn thể,"Hướng dẫn nghiệp vụ, chỉ dẫn cách thức thực hiện liên quan công tác đoàn thể.",Hướng dẫn,,Nhóm 2,1.2,26. Công tác đoàn thể,
26.7,3.1,Công văn nội bộ Trường liên quan công tác đoàn thể,"Trao đổi, đề nghị, phối hợp giữa các đơn vị trong Trường liên quan công tác đoàn thể.",Công văn,,Nhóm 1,0.5,26. Công tác đoàn thể,
26.8,3.2,Công văn ra ngoài Trường liên quan công tác đoàn thể,"Trao đổi, báo cáo, đề nghị với cơ quan, đơn vị bên ngoài liên quan công tác đoàn thể.",Công văn,,Nhóm 1,0.5,26. Công tác đoàn thể,
26.9,9.4,"Báo cáo tiếp thu, giải trình liên quan công tác đoàn thể","Báo cáo tiếp thu, giải trình theo yêu cầu của cấp có thẩm quyền liên quan công tác đoàn thể.",Báo cáo,,Nhóm 1,0.5,26. Công tác đoàn thể,
27.1,7.2,"Chương trình, kế hoạch phát động phong trào thi đua năm",Xây dựng kế hoạch phát động phong trào thi đua theo đợt/năm.,Kế hoạch,,Nhóm 2,1.5,"27. Thi đua, khen thưởng",hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
27.2,2,"Quyết định khen thưởng tập thể, cá nhân","Ra quyết định khen thưởng tập thể, cá nhân theo thành tích, danh hiệu.",Quyết định,,Nhóm 1,0.5,"27. Thi đua, khen thưởng",
27.3,9.2,"Báo cáo năm tổng kết công tác thi đua, khen thưởng","Tổng kết, đánh giá kết quả phong trào thi đua, công tác khen thưởng năm.",Báo cáo,,Nhóm 2,1.5,"27. Thi đua, khen thưởng",hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
27.4,3,"Quy chế, Quy định liên quan thi đua, khen thưởng","Ban hành, sửa đổi quy chế, quy định nội bộ liên quan thi đua, khen thưởng.",Quy chế/Quy định,,Nhóm 2,2,"27. Thi đua, khen thưởng",hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
27.5,5,"Hướng dẫn liên quan thi đua, khen thưởng","Hướng dẫn nghiệp vụ, chỉ dẫn cách thức thực hiện liên quan thi đua, khen thưởng.",Hướng dẫn,,Nhóm 2,1.2,"27. Thi đua, khen thưởng",
27.6,3.1,"Công văn nội bộ Trường liên quan thi đua, khen thưởng","Trao đổi, đề nghị, phối hợp giữa các đơn vị trong Trường liên quan thi đua, khen thưởng.",Công văn,,Nhóm 1,0.5,"27. Thi đua, khen thưởng",
27.7,3.2,"Công văn ra ngoài Trường liên quan thi đua, khen thưởng","Trao đổi, báo cáo, đề nghị với cơ quan, đơn vị bên ngoài liên quan thi đua, khen thưởng.",Công văn,,Nhóm 1,0.5,"27. Thi đua, khen thưởng",
27.8,9.4,"Báo cáo tiếp thu, giải trình liên quan thi đua, khen thưởng","Báo cáo tiếp thu, giải trình theo yêu cầu của cấp có thẩm quyền liên quan thi đua, khen thưởng.",Báo cáo,,Nhóm 1,0.5,"27. Thi đua, khen thưởng",
28.1,7.2,"Chương trình, kế hoạch xây dựng văn hóa công sở, văn hóa học đường năm","Xây dựng kế hoạch triển khai văn hóa công sở, văn hóa học đường, quy tắc ứng xử.",Kế hoạch,,Nhóm 2,1.5,28. Xây dựng văn hóa và phát triển thương hiệu nhà trường,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
28.2,3,Quy tắc ứng xử của Trường,"Ban hành quy tắc ứng xử áp dụng cho viên chức, người học.",Quy chế/Quy định,,Nhóm 2,2,28. Xây dựng văn hóa và phát triển thương hiệu nhà trường,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
28.3,7.2,"Chương trình, kế hoạch truyền thông, quảng bá thương hiệu năm","Xây dựng kế hoạch truyền thông nội bộ, đối ngoại, quảng bá thương hiệu Trường.",Kế hoạch,,Nhóm 2,1.5,28. Xây dựng văn hóa và phát triển thương hiệu nhà trường,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
28.4,19,Sản phẩm truyền thông số,"xây dựng video, poster, inforgraphics,… đăng tải trên các kênh truyền thông hoặc trình chiếu tại hội nghị, hội trường",Video/Ấn phẩm truyền thông,,Nhóm 2,1.5,28. Xây dựng văn hóa và phát triển thương hiệu nhà trường,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
28.5,3,"Quy chế, Quy định liên quan xây dựng văn hóa và phát triển thương hiệu nhà trường","Ban hành, sửa đổi quy chế, quy định nội bộ liên quan xây dựng văn hóa và phát triển thương hiệu nhà trường.",Quy chế/Quy định,,Nhóm 2,2,28. Xây dựng văn hóa và phát triển thương hiệu nhà trường,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
28.6,5,Hướng dẫn liên quan xây dựng văn hóa và phát triển thương hiệu nhà trường,"Hướng dẫn nghiệp vụ, chỉ dẫn cách thức thực hiện liên quan xây dựng văn hóa và phát triển thương hiệu nhà trường.",Hướng dẫn,,Nhóm 2,1.2,28. Xây dựng văn hóa và phát triển thương hiệu nhà trường,
28.7,3.1,Công văn nội bộ Trường liên quan xây dựng văn hóa và phát triển thương hiệu nhà trường,"Trao đổi, đề nghị, phối hợp giữa các đơn vị trong Trường liên quan xây dựng văn hóa và phát triển thương hiệu nhà trường.",Công văn,,Nhóm 1,0.5,28. Xây dựng văn hóa và phát triển thương hiệu nhà trường,
28.8,3.2,Công văn ra ngoài Trường liên quan xây dựng văn hóa và phát triển thương hiệu nhà trường,"Trao đổi, báo cáo, đề nghị với cơ quan, đơn vị bên ngoài liên quan xây dựng văn hóa và phát triển thương hiệu nhà trường.",Công văn,,Nhóm 1,0.5,28. Xây dựng văn hóa và phát triển thương hiệu nhà trường,
28.9,9.4,"Báo cáo tiếp thu, giải trình liên quan xây dựng văn hóa và phát triển thương hiệu nhà trường","Báo cáo tiếp thu, giải trình theo yêu cầu của cấp có thẩm quyền liên quan xây dựng văn hóa và phát triển thương hiệu nhà trường.",Báo cáo,,Nhóm 1,0.5,28. Xây dựng văn hóa và phát triển thương hiệu nhà trường,
29.1,7.2,"Chương trình, kế hoạch công tác học sinh, sinh viên năm học",Xây dựng kế hoạch công tác quản lý HSSV theo năm học.,Kế hoạch,,Nhóm 2,1.5,29. Phát triển con người và quản lý người học,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
29.2,3,"Quy định, quy chế về công tác học sinh, sinh viên","Ban hành quy định quản lý HSSV (nội trú, ngoại trú, khen thưởng, kỷ luật,...).",Quy chế/Quy định,,Nhóm 2,2,29. Phát triển con người và quản lý người học,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
29.3,2,"Quyết định khen thưởng, kỷ luật học sinh, sinh viên",Ra quyết định khen thưởng hoặc kỷ luật HSSV theo quy định (kể cả cho thôi học theo nguyện vọng).,Quyết định,,Nhóm 1,0.5,29. Phát triển con người và quản lý người học,
29.4,7.2,"Chương trình, kế hoạch tư vấn tâm lý, hướng nghiệp, việc làm cho học sinh, sinh viên","Xây dựng kế hoạch tổ chức tư vấn học tập, tâm lý, hướng nghiệp, việc làm.",Kế hoạch,,Nhóm 2,1.5,29. Phát triển con người và quản lý người học,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
29.5,2,"Quyết định công nhận kết quả rèn luyện học kỳ, năm học","Tổng hợp, quyết định công nhận kết quả đánh giá rèn luyện HSSV theo học kỳ, năm học.",Quyết định,,Nhóm 1,0.5,29. Phát triển con người và quản lý người học,
29.6,10,Xét điểm rèn luyện cho sinh viên,,Biên bản/danh sách,,Nhóm 1,0.5,29. Phát triển con người và quản lý người học,
29.7,7.2,"Chương trình, kế hoạch thực hiện chế độ, chính sách đối với học sinh, sinh viên","Xây dựng kế hoạch triển khai chế độ, chính sách hỗ trợ người học.",Kế hoạch,,Nhóm 2,1.5,29. Phát triển con người và quản lý người học,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
29.8,2,"Đề xuất, quyết định công nhận SV được hưởng chế độ, chính sách",,Quyết định,,Nhóm 2,2,29. Phát triển con người và quản lý người học,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
29.9,7.4,Kế hoạch khám sức khỏe định kỳ cho người học,,Kế hoạch,,Nhóm 1,1,29. Phát triển con người và quản lý người học,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
29.10,3.1,Văn bản triển khai bảo hiểm y tế đối với người học,,Văn bản,,Nhóm 1,1,29. Phát triển con người và quản lý người học,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
29.11,16,Thực hiện nghiệp vụ y tế trên phần mềm,,Dữ liệu,,Nhóm 1,1,29. Phát triển con người và quản lý người học,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
29.12,16,"Theo dõi, giải trình hồ sơ, chi phí khám chữa bện y tế",,Sổ theo dõi,,Nhóm 1,1,29. Phát triển con người và quản lý người học,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
29.13,17,"Theo dõi, quản lý thuốc, vật tư ý tế, hóa chất",Thuộc phạm vu được giao,Sổ theo dõi,,Nhóm 1,1,29. Phát triển con người và quản lý người học,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
29.14,16,Thực hiện một số nghiệp vụ khác liên quan y tế,,Công việc,,Nhóm 1,1,29. Phát triển con người và quản lý người học,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
29.15,9.1,"Báo cáo tháng, quý công tác chăm sóc sức khỏe học đường","Tổng hợp, báo cáo kết quả công tác y tế, chăm sóc sức khỏe học đường theo tháng, quý.",Báo cáo,,Nhóm 1,0.5,29. Phát triển con người và quản lý người học,
29.16,9.2,Báo cáo năm công tác chăm sóc sức khỏe học đường,"Tổng hợp, báo cáo kết quả công tác y tế, chăm sóc sức khỏe học đường theo năm.",Báo cáo,,Nhóm 1,1,29. Phát triển con người và quản lý người học,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
29.17,3,"Quy chế, Quy định liên quan phát triển con người và quản lý người học","Ban hành, sửa đổi quy chế, quy định nội bộ liên quan phát triển con người và quản lý người học.",Quy chế/Quy định,,Nhóm 2,2,29. Phát triển con người và quản lý người học,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
29.18,8,Phương án triển khai hoạt động liên quan người học,"Phương án triển khai các hỏa động liên quan người học phát sinh trong quá trình lãnh đạo, chỉ đạo (Phương án bếp ăn, …)",Phương án,,Nhóm 2,2,29. Phát triển con người và quản lý người học,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
29.19,5,Hướng dẫn liên quan phát triển con người và quản lý người học,"Hướng dẫn nghiệp vụ, chỉ dẫn cách thức thực hiện liên quan phát triển con người và quản lý người học.",Hướng dẫn,,Nhóm 2,1.2,29. Phát triển con người và quản lý người học,
29.20,3.1,Công văn nội bộ Trường liên quan phát triển con người và quản lý người học,"Trao đổi, đề nghị, phối hợp giữa các đơn vị trong Trường liên quan phát triển con người và quản lý người học.",Công văn,,Nhóm 1,0.5,29. Phát triển con người và quản lý người học,
29.21,3.2,Công văn ra ngoài Trường liên quan phát triển con người và quản lý người học,"Trao đổi, báo cáo, đề nghị với cơ quan, đơn vị bên ngoài liên quan phát triển con người và quản lý người học.",Công văn,,Nhóm 1,0.5,29. Phát triển con người và quản lý người học,
29.22,9.4,"Báo cáo tiếp thu, giải trình liên quan phát triển con người và quản lý người học","Báo cáo tiếp thu, giải trình theo yêu cầu của cấp có thẩm quyền liên quan phát triển con người và quản lý người học.",Báo cáo,,Nhóm 1,50,29. Phát triển con người và quản lý người học,hệ số 50 ≠ chuẩn Nhóm 1 = 0.5
30.1,3,Quy chế chi tiêu nội bộ,"Xây dựng, sửa đổi Quy chế chi tiêu nội bộ của Trường.",Quy chế/Quy định,,Nhóm 2,2,30. Quản lý tài chính,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
30.2,7.2,"Chương trình, kế hoạch tài chính năm (dự toán)","Xây dựng kế hoạch, dự toán thu chi tài chính năm.",Kế hoạch,,Nhóm 2,1.5,30. Quản lý tài chính,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
30.3,9.2,Báo cáo năm quyết toán tài chính,"Lập, trình báo cáo quyết toán tài chính năm theo quy định.",Báo cáo,,Nhóm 2,1.5,30. Quản lý tài chính,hệ số 1.5 ≠ chuẩn Nhóm 2 = 1.2
30.4,9.1,Báo cáo quý công khai tài chính,Báo cáo công khai tình hình tài chính theo quy định.,Báo cáo,,Nhóm 1,1,30. Quản lý tài chính,hệ số 1 ≠ chuẩn Nhóm 1 = 0.5
30.5,3,"Quy chế, Quy định liên quan quản lý tài chính","Ban hành, sửa đổi quy chế, quy định nội bộ liên quan quản lý tài chính.",Quy chế/Quy định,,Nhóm 2,2,30. Quản lý tài chính,hệ số 2 ≠ chuẩn Nhóm 2 = 1.2
